Endereco,Lat,Lng
"ASSIS BRASIL & PEDESTRE Nº 3977 CB (APÓS BENNO MENTZ), Porto Alegre, RS, Brasil","-30,0106487","-51,1466937"
"ASSIS BRASIL & PEDESTRE Nº 4421 CB (APÓS JOAQUIM SILVEIRA), Porto Alegre, RS, Brasil","-30,0036721","-51,1425006"
"ASSIS BRASIL & PEDESTRE Nº 5225 CB (APÓS FREDERICO DAHNE), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 5431 CB (PRÓX. ZEFERINO DIAS), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 5436 BC (PRÓX. ZEFERINO DIAS), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 5548 BC (TUMELERO), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 5577 CB (TUMELERO), Porto Alegre, RS, Brasil","-30,0012424","-51,1331398"
"ASSIS BRASIL & PEDESTRE Nº 6418 BC (PRÓX. ABAETÉ), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 6691 CB (PRÓX. OLIVEIRA LOPES), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 7631 CB (FÓRUM SARANDI), Porto Alegre, RS, Brasil","-29,9874261","-51,121098"
"ASSIS BRASIL & PEDESTRE Nº 7678 BC (FÓRUM SARANDI), Porto Alegre, RS, Brasil","-29,9874261","-51,121098"
"ASSIS BRASIL & PEDESTRE Nº 8853 (APÓS BERNARDINO SILVEIRA AMORIM), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 933 (PRÓX. SANTA CATARINA), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & SENHOR DO BOM FIM, Porto Alegre, RS, Brasil","-29,9899694","-51,1246589"
"ASSIS BRASIL & SERTÓRIO, Porto Alegre, RS, Brasil","-29,9999313","-51,1326581"
"ASSIS BRASIL & VIADUTO OBIRICI, Porto Alegre, RS, Brasil","-30,0117174","-51,1697671"
"ASSIS BRASIL&JOSÉ INÁCIO DA SILVA&BRASILIANO ÍNDIO DE MORAES&EMÍLIO LÚCIO ESTEVES, Porto Alegre, RS, Brasil","-30,0059776","-51,1788861"
"AUGUSTO DE CARVALHO & PEDESTRE Nº 1305 (PRÓX. OTÁVIO FRANCISCO CARUZO DA ROCHA), Porto Alegre, RS, Brasil","-30,0392004","-51,2329009"
"AUGUSTO MEYER & CORCOVADO, Porto Alegre, RS, Brasil","-30,0205204","-51,185743"
"AURELIANO DE FIGUEIREDO PINTO & MÚCIO TEIXEIRA, Porto Alegre, RS, Brasil","-30,0436038","-51,2233645"
"AURELIANO DE FIGUEIREDO PINTO & PEDESTRE APÓS EDVALDO PEREIRA PAIVA CB (ESTACIONAMENTO EPTC), Porto Alegre, RS, Brasil","-30,043119","-51,2269715"
"AURELIANO DE FIGUEIREDO PINTO & PEDESTRE CB PRÓX. FÓRUM CENTRAL, Porto Alegre, RS, Brasil","-30,0440916","-51,2309092"
"AURELIANO DE FIGUEIREDO PINTO & TRAV. PESQUEIRO, Porto Alegre, RS, Brasil","-30,0433501","-51,2245309"
"AURELIANO FIGUEIREDO PINTO & PRAIA DE BELAS, Porto Alegre, RS, Brasil","-30,0428478","-51,2300809"
"AV. DAS INDÚSTRIAS & DIQUE, Porto Alegre, RS, Brasil","-29,985164","-51,1551217"
"AV. DOS ESTADOS & PEDESTRE Nº 1909 (PRÓX. HOTEL DE VILLE), Porto Alegre, RS, Brasil","-29,9807324","-51,1780044"
"AZENHA & BOTAFOGO, Porto Alegre, RS, Brasil","-30,0548178","-51,2182806"
"AZENHA & CARLOS BARBOSA, Porto Alegre, RS, Brasil","-30,058013","-51,2134703"
"AZENHA & ESTAÇÃO 04 CB (EST. SHOPING JOÃO PESSOA), Porto Alegre, RS, Brasil","-30,0457572","-51,2131078"
"AZENHA & ESTAÇÃO 05 CB (EST. CASTELO), Porto Alegre, RS, Brasil","-30,0508344","-51,2128325"
"AZENHA & PEDESTRE Nº 1115 (PRÓX. GALERIA AUGUSTA), Porto Alegre, RS, Brasil","-30,0532598","-51,2142749"
"AZENHA & PEDESTRE Nº 1240 BC (PRÓX. BOTAFOGO), Porto Alegre, RS, Brasil","-30,0545589","-51,2211573"
"AZENHA & PEDESTRE Nº 958 (PRÓXIMO GEN. CALDWELL), Porto Alegre, RS, Brasil","-30,0510631","-51,2170037"
"AZENHA & PRINCESA ISABEL & BENTO GONÇALVES & OSCAR PEREIRA, Porto Alegre, RS, Brasil","-30,0506924","-51,2121086"
"BALTAZAR DE OLIVEIRA GARCIA & ANTÔNIO FRANCISCO LISBOA, Porto Alegre, RS, Brasil","-30,0119424","-51,0964767"
"BALTAZAR DE OLIVEIRA GARCIA & ESTAÇÃO 09 BC (PRÓX. NOSSA SENHORA DE FÁTIMA), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR DE OLIVEIRA GARCIA & MAURÍCIO SELIGMAN, Porto Alegre, RS, Brasil","-30,0116698","-51,094989"
"BALTAZAR OLIVEIRA GARCIA & ARY TARRAGÔ, Porto Alegre, RS, Brasil","-30,011184","-51,1307588"
"BALTAZAR OLIVEIRA GARCIA & CARLOS DE BRITTO VELHO, Porto Alegre, RS, Brasil","-30,0161882","-51,1063522"
"BALTAZAR OLIVEIRA GARCIA & CARLOS MARIA BINS, Porto Alegre, RS, Brasil","-30,0153595","-51,113827"
"BALTAZAR OLIVEIRA GARCIA & CRUZ JOBIM, Porto Alegre, RS, Brasil","-30,0097511","-51,1414964"
"BALTAZAR OLIVEIRA GARCIA & DELMAR ROCHA BARBOSA, Porto Alegre, RS, Brasil","-30,0163557","-51,10816"
"BALTAZAR OLIVEIRA GARCIA & DONA ADDA MASCARENHAS DE MORAES & JOÃO LÜDERITZ, Porto Alegre, RS, Brasil","-30,0099497","-51,1355571"
"BALTAZAR OLIVEIRA GARCIA & DONA ALZIRA, Porto Alegre, RS, Brasil","-30,0102653","-51,1384008"
"BALTAZAR OLIVEIRA GARCIA & E05 CB - BIKE 1 PRÓX. LYDIA MOSCHETTI, Porto Alegre, RS, Brasil","-30,015193","-51,117598"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 01 BC (PRÓX. CRUZ JOBIM), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 01 CB (PRÓX. CRUZ JOBIM), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 01 CB/1 (PRÓX. CRUZ JOBIM), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 02 BC (PRÓX. ADDA MASCARENHAS DE MORAES), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 02 BC/1 (PRÓX. ADDA MASCARENHAS DE MORAES), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 02 CB (PRÓX. ADDA MASCARENHAS DE MORAES), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 02 CB/1 (PRÓX. ADDA MASCARENHAS DE MORAES), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇAÕ 03 BC (PRÓX. SERTÓRIO), Porto Alegre, RS, Brasil","-30,0157436","-51,109282"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 03 BC/1 (PRÓX. SERTÓRIO), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 03 CB (PRÓX. SERTÓRIO), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 03 CB/1 (PRÓX. SERTÓRIO), Porto Alegre, RS, Brasil","-30,0149898","-51,1185065"
"BALTAZAR OLIVEIRA GARCIA & ESTAÇÃO 04 BC (PRÓX. CENTRO VIDA), Porto Alegre, RS, Brasil","-30,013743","-51,122728"
