id,situacao,nome,geojson,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m
62,CONCLUIDO,DR NILO PECANHA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1794773233506,-30.0290187377077],[-51.1791452550465,-30.0289233446244]]]}",0,0,0,0,0
63,CONCLUIDO,IRMAO JOSE OTAO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2167126645219,-30.0306123435891],[-51.2160426951849,-30.0307566496166]]]}",0,0,0,1,3
64,CONCLUIDO,IRMAO JOSE OTAO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2142407515714,-30.0311858256349],[-51.2124566740038,-30.0316442653827],[-51.2124007773633,-30.031638718037]]]}",0,0,0,1,1
65,CONCLUIDO,IRMAO JOSE OTAO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2160426951849,-30.0307566496166],[-51.2152327106727,-30.030948540062]]]}",0,0,0,1,2
66,CONCLUIDO,IRMAO JOSE OTAO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2152327106727,-30.030948540062],[-51.2142407515714,-30.0311858256349]]]}",0,0,0,1,2
67,CONCLUIDO,MARIANTE,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2042127940958,-30.0356613969658],[-51.2042089171053,-30.0361406291327]]]}",0,0,0,0,0
68,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2098377741817,-30.0317488245337],[-51.2097428354001,-30.0317410827056]]]}",0,0,0,0,0
69,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2109156705115,-30.0316974866421],[-51.2099196997964,-30.0317306523775],[-51.2098377741817,-30.0317488245337]]]}",0,0,0,0,0
70,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2097428354001,-30.0317410827056],[-51.2096746895914,-30.0317648703892],[-51.2085014216857,-30.0318343907599]]]}",0,0,0,0,0
71,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2085014216857,-30.0318343907599],[-51.2083658575375,-30.0318424987411],[-51.2074908585015,-30.0320175305712]]]}",0,0,0,0,0
72,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2074908585015,-30.0320175305712],[-51.2071207412642,-30.0321038104364]]]}",0,0,0,0,0
73,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2058187590006,-30.032364072389],[-51.2057347541329,-30.0323957766337],[-51.2042569083496,-30.0326856146941]]]}",0,0,0,0,0
74,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2220516093103,-30.0349029453888],[-51.221658601096,-30.0348201665814],[-51.2213646301507,-30.0346921163634]]]}",0,0,0,2,4
75,CONCLUIDO,PRESIDENTE JOAO GOULART,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2410301546504,-30.0353250895185],[-51.2410412353037,-30.0355528425911],[-51.2410272272258,-30.0357220068615],[-51.2409691449944,-30.0358856136989],[-51.2408651302469,-30.0360797498956],[-51.2406622286477,-30.0363112767528]]]}",0,0,0,0,0
76,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2244035625186,-30.0354199015456],[-51.224245553716,-30.03531756046],[-51.2239774807237,-30.0351827062723],[-51.2236404828088,-30.0350840516169],[-51.2233855681118,-30.0350371260521],[-51.2227395944493,-30.0349727792711]]]}",0,0,0,0,4
77,CONCLUIDO,MARIANTE,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2042119065306,-30.0338065110014],[-51.2042127940958,-30.0356613969658]]]}",0,0,0,0,0
78,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2260585106415,-30.0371580675132],[-51.2247584193521,-30.0357508074901]]]}",0,0,2,2,4
79,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2406622286477,-30.0363112767528],[-51.2405372771455,-30.0364220089165],[-51.2403281900816,-30.0365746157224],[-51.2399752033988,-30.0367737158719],[-51.2396562357083,-30.0369062255353],[-51.2390891731105,-30.0370042302095],[-51.2372812529015,-30.0371732590421]]]}",0,0,0,0,1
80,CONCLUIDO,NILOPOLIS,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1877931933768,-30.0374302447066],[-51.1876820944293,-30.0373593649253],[-51.1857392501608,-30.0354181541075]]]}",0,0,0,1,1
81,CONCLUIDO,NILOPOLIS,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1878301639211,-30.0374493609067],[-51.1877931933768,-30.0374302447066]]]}",0,0,0,0,0
82,CONCLUIDO,TIRADENTES,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2042089171053,-30.0361406291327],[-51.2042208346953,-30.0362646457933],[-51.2042198305735,-30.0373550278742],[-51.2042110687645,-30.0374272072901]]]}",0,0,0,0,0
